0,210
1,494
2,3354
3,9483
4,12765
5,13584
6,13721
7,13802
8,14073
9,14166
10,14556
11,14703
12,15004
13,14943
14,15058
15,15121
16,15300
17,15312
18,15122
19,15201
20,15031
21,15032
22,15357
23,15824
24,16322
25,17124
26,17709
27,19112
28,20476
29,22013
30,23850
31,25213
32,25540
33,25159
34,24092
35,22922
36,22075
37,21462
38,20264
39,20037
40,19425
41,19161
42,19402
43,19228
44,19369
45,19882
46,20028
47,20303
48,20678
49,21107
50,21454
51,21455
52,21689
53,21749
54,22102
55,21903
56,21998
57,21860
58,21768
59,21784
60,21630
61,21677
62,21445
63,21412
64,21251
65,21419
66,21596
67,21316
68,21550
69,21630
70,21945
71,22462
72,23384
73,23458
74,24300
75,24890
76,25588
77,25867
78,26018
79,26087
80,26439
81,25956
82,25842
83,25023
84,25083
85,24175
86,23800
87,23180
88,22248
89,21740
90,21525
91,20847
92,20219
93,19783
94,19405
95,18665
96,18242
97,18054
98,17470
99,17216
100,16498
101,16327
102,15917
103,15330
104,15254
105,14825
106,14677
107,14245
108,13977
109,13766
110,13715
111,13500
112,13206
113,13034
114,12720
115,12739
116,12230
117,12058
118,11989
119,11882
120,11678
121,11391
122,11539
123,11334
124,11503
125,10878
126,10792
127,10835
128,10627
129,10444
130,10563
131,10375
132,10229
133,10348
134,10105
135,10076
136,9949
137,9796
138,9871
139,9734
140,9540
141,9363
142,9339
143,9356
144,9442
145,9315
146,9429
147,9253
148,9166
149,8971
150,9025
151,9106
152,8988
153,9006
154,9125
155,9069
156,8873
157,8986
158,8817
159,8883
160,8986
161,8954
162,8846
163,8802
164,9005
165,8922
166,8891
167,9219
168,8962
169,8544
170,8948
171,8812
172,8803
173,8603
174,8694
175,8439
176,8650
177,8462
178,8314
179,8225
180,7877
181,7848
182,7734
183,7505
184,7418
185,7100
186,6745
187,6539
188,6451
189,5923
190,5814
191,5500
192,5197
193,4997
194,4573
195,4453
196,4172
197,3958
198,3739
199,3585
200,3426
201,3384
202,3037
203,2814
204,2879
205,2760
206,2609
207,2505
208,2385
209,2367
210,2411
211,2278
212,2150
213,2178
214,2092
215,2002
216,1933
217,1875
218,1845
219,1825
220,1743
221,1667
222,1680
223,1654
224,1696
225,1614
226,1627
227,1577
228,1606
229,1555
230,1608
231,1520
232,1549
233,1552
234,1580
235,1613
236,1658
237,1813
238,1855
239,1981
240,1992
241,2137
242,2313
243,2487
244,2755
245,2971
246,3340
247,3746
248,4046
249,4528
250,5050
251,5688
252,6226
253,7000
254,7496
255,8305
256,9221
257,9923
258,10879
259,11655
260,12341
261,13094
262,13636
263,14037
264,14593
265,14875
266,14766
267,14669
268,14671
269,14049
270,13818
271,13100
272,12455
273,11799
274,10503
275,10182
276,8891
277,8078
278,7168
279,6536
280,5723
281,4986
282,4506
283,3952
284,3416
285,3001
286,2744
287,2246
288,2053
289,1749
290,1578
291,1472
292,1333
293,1199
294,989
295,954
296,830
297,865
298,702
299,671
300,567
301,483
302,482
303,381
304,331
305,317
306,280
307,247
308,225
309,160
310,173
311,130
312,113
313,99
314,85
315,68
316,53
317,71
318,31
319,35
320,34
321,34
322,23
323,30
324,34
325,28
326,21
327,28
328,25
329,28
330,23
331,19
332,29
333,13
334,20
335,20
336,19
337,29
338,25
339,23
340,18
341,15
342,14
343,14
344,24
345,18
346,17
347,16
348,16
349,16
350,15
351,15
352,18
353,13
354,15
355,18
356,16
357,15
358,8
359,15
360,4
361,11
362,14
363,16
364,10
365,10
366,10
367,16
368,12
369,10
370,10
371,13
372,17
373,15
374,10
375,15
376,11
377,12
378,13
379,5
380,12
381,14
382,16
383,12
384,8
385,11
386,11
387,16
388,12
389,8
390,6
391,6
392,10
393,7
394,3
395,8
396,11
397,8
398,7
399,9
400,10
401,13
402,9
403,9
404,4
405,5
406,8
407,7
408,10
409,7
410,7
411,12
412,9
413,9
414,7
415,3
416,14
417,8
418,9
419,7
420,6
421,4
422,7
423,5
424,12
425,9
426,6
427,7
428,10
429,5
430,11
431,6
432,8
433,6
434,6
435,9
436,10
437,12
438,9
439,6
440,5
441,5
442,9
443,3
444,4
445,6
446,4
447,8
448,6
449,3
450,7
451,11
452,6
453,7
454,6
455,6
456,5
457,3
458,7
459,5
460,5
461,5
462,5
463,6
464,7
465,7
466,8
467,4
468,5
469,1
470,4
471,8
472,5
473,6
474,2
475,2
476,0
477,1
478,6
479,3
480,2
481,5
482,3
483,6
484,1
485,4
486,4
487,1
488,5
489,1
490,4
491,2
492,2
493,4
494,5
495,1
496,4
497,4
498,6
499,1
500,3
501,6
502,4
503,4
504,3
505,1
506,5
507,6
508,4
509,1
510,2
511,2
512,2
513,3
514,0
515,4
516,5
517,3
518,3
519,4
520,2
521,3
522,2
523,0
524,6
525,2
526,2
527,2
528,2
529,2
530,3
531,1
532,0
533,1
534,3
535,0
536,0
537,2
538,3
539,1
540,3
541,3
542,1
543,1
544,5
545,1
546,4
547,4
548,1
549,2
550,3
551,3
552,2
553,1
554,5
555,2
556,4
557,2
558,4
559,5
560,6
561,3
562,7
563,4
564,4
565,3
566,3
567,3
568,1
569,2
570,0
571,1
572,1
573,2
574,6
575,2
576,2
577,1
578,3
579,2
580,1
581,0
582,1
583,3
584,3
585,3
586,1
587,0
588,1
589,2
590,1
591,2
592,0
593,0
594,1
595,2
596,1
597,0
598,2
599,2
600,0
601,0
602,2
603,1
604,2
605,0
606,1
607,4
608,3
609,1
610,2
611,2
612,1
613,1
614,2
615,2
616,2
617,1
618,2
619,1
620,5
621,1
622,3
623,1
624,1
625,1
626,1
627,0
628,1
629,1
630,0
631,1
632,1
633,2
634,2
635,2
636,2
637,0
638,0
639,0
640,1
641,1
642,0
643,1
644,0
645,0
646,1
647,1
648,0
649,0
650,0
651,0
652,1
653,0
654,0
655,1
656,2
657,1
658,0
659,1
660,1
661,0
662,0
663,0
664,0
665,1
666,0
667,0
668,0
669,0
670,2
671,0
672,0
673,3
674,1
675,1
676,0
677,1
678,1
679,0
680,1
681,0
682,0
683,1
684,1
685,0
686,2
687,0
688,0
689,1
690,2
691,0
692,1
693,1
694,0
695,0
696,1
697,0
698,1
699,0
700,3
701,0
702,1
703,1
704,0
705,1
706,1
707,0
708,0
709,0
710,1
711,2
712,1
713,2
714,1
715,1
716,1
717,3
718,0
719,0
720,0
721,1
722,0
723,0
724,1
725,0
726,1
727,0
728,1
729,1
730,0
731,0
732,4
733,1
734,3
735,0
736,0
737,0
738,1
739,0
740,1
741,0
742,0
743,1
744,0
745,0
746,0
747,0
748,0
749,1
750,0
751,2
752,1
753,1
754,0
755,0
756,0
757,0
758,0
759,0
760,1
761,0
762,0
763,0
764,0
765,0
766,0
767,1
768,2
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,0
793,1
794,0
795,1
796,0
797,0
798,0
799,0
800,1
801,0
802,0
803,0
804,0
805,2
